,researchExp,toeflScore,GRE_Total,CGPA,University
383,0.0,104.21251509054326,297,5.75,University of Texas at Dallas
384,0.0,85.0,307,7.25,University of Texas at Dallas
385,0.0,106.0,317,8.149999999999999,University of Texas at Dallas
386,0.0,101.0,317,6.375,University of Texas at Dallas
387,0.0,89.0,310,9.05,University of Texas at Dallas
388,0.0,104.0,309,6.875,University of Texas at Dallas
389,1.0,94.0,302,9.05,University of Texas at Dallas
390,0.0,112.0,327,8.075,University of Texas at Dallas
391,0.0,106.0,309,8.325,University of Texas at Dallas
392,0.0,95.0,307,8.149999999999999,University of Texas at Dallas
393,0.0,104.21251509054326,311,8.325,University of Texas at Dallas
394,0.0,89.0,303,7.925,University of Texas at Dallas
395,0.0,116.0,320,6.875,University of Texas at Dallas
396,0.0,102.0,315,5.875,University of Texas at Dallas
397,0.0,108.0,314,8.725000000000001,University of Texas at Dallas
398,0.0,94.0,313,8.475,University of Texas at Dallas
399,0.0,109.0,312,8.149999999999999,University of Texas at Dallas
400,0.0,104.0,324,7.25,University of Texas at Dallas
401,0.0,98.0,308,8.65,University of Texas at Dallas
402,0.0,96.0,322,8.475,University of Texas at Dallas
403,0.0,93.0,310,7.6,University of Texas at Dallas
404,0.0,104.21251509054326,308,7.25,University of Texas at Dallas
405,0.0,110.0,321,8.075,University of Texas at Dallas
406,0.0,96.0,316,9.05,University of Texas at Dallas
407,0.0,100.0,312,8.725000000000001,University of Texas at Dallas
408,0.0,104.21251509054326,317,8.25,University of Texas at Dallas
409,0.0,109.0,315,8.725000000000001,University of Texas at Dallas
410,0.0,90.0,314,8.55,University of Texas at Dallas
411,0.0,87.0,312,8.725000000000001,University of Texas at Dallas
412,0.0,116.0,313,7.125,University of Texas at Dallas
413,0.0,107.0,308,9.125,University of Texas at Dallas
414,0.0,114.0,316,7.5,University of Texas at Dallas
415,0.0,109.0,313,7.75,University of Texas at Dallas
416,0.0,116.0,325,8.0,University of Texas at Dallas
417,0.0,111.0,315,9.05,University of Texas at Dallas
418,0.0,106.0,317,9.525,University of Texas at Dallas
419,0.0,93.0,297,9.525,University of Texas at Dallas
420,0.0,104.0,311,7.0,University of Texas at Dallas
421,0.0,104.21251509054326,310,8.25,University of Texas at Dallas
422,0.0,88.0,307,8.95,University of Texas at Dallas
423,0.0,86.0,283,9.6,University of Texas at Dallas
424,0.0,110.0,317,8.95,University of Texas at Dallas
425,0.0,105.0,310,8.475,University of Texas at Dallas
426,0.0,103.0,307,8.25,University of Texas at Dallas
427,0.0,105.0,314,8.0,University of Texas at Dallas
428,0.0,82.0,315,8.65,University of Texas at Dallas
429,0.0,102.0,318,8.725000000000001,University of Texas at Dallas
430,0.0,105.0,307,8.149999999999999,University of Texas at Dallas
431,0.0,100.0,313,8.075,University of Texas at Dallas
432,0.0,108.0,301,8.075,University of Texas at Dallas
433,0.0,111.0,311,9.350000000000001,University of Texas at Dallas
434,0.0,104.21251509054326,309,8.4,University of Texas at Dallas
435,0.0,116.0,323,8.875,University of Texas at Dallas
